concat,Product,Cpu_Full,Memory_Full,Gpu_Full
2529Windows 10Intel815.6Intel HD Graphics 620,Gram 15Z975,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel HD Graphics 620
2529Windows 10Intel1614Intel HD Graphics 620,ThinkPad T470s,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2529Windows 10Intel1617.3Nvidia GeForce GTX 1060,Predator G9-793,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2529Windows 10Intel1617.3Nvidia GeForce GTX 980M,G752VY-GC162T (i7-6700HQ/16GB/1TB,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
2529Windows 7Intel1214Intel HD Graphics 520,ThinkPad T460s,Intel Core i7 6600U 2.6GHz,512GB SSD,Intel HD Graphics 520
2527Windows 7Intel812.5Intel HD Graphics 520,EliteBook 820,Intel Core i7 6500U 2.50GHz,256GB SSD,Intel HD Graphics 520
2519Windows 10Intel1617.3Nvidia GeForce GTX 980M,IdeaPad Y900-17ISK,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
2510Windows 10Intel814Intel HD Graphics 620,Thinkpad X1,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2505Windows 10Intel813.3Intel HD Graphics 620,EliteBook x360,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
2495Windows 10Intel1615.6Nvidia GeForce GTX 1070,GT62VR 7RE,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2479Windows 10Intel1613.3Intel HD Graphics 620,XPS 13,Intel Core i7 7500U 2.7GHz,1TB SSD,Intel HD Graphics 620
2476Windows 10Intel815.6Nvidia GeForce 960M,XPS 15,Intel Core i5 6300HQ 2.3GHz,256GB SSD,Nvidia GeForce 960M
2474Windows 10Intel1617.3Nvidia GeForce GTX 1070,GE73VR 7RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2474Windows 10Intel815.6Nvidia Quadro M1000M,ZBook Studio,Intel Core i7 6820HQ 2.7GHz,8GB SSD,Nvidia Quadro M1000M
2466Windows 10Intel1615.6Nvidia GeForce GTX 1070,GS63VR 7RG,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070
2464Windows 10Intel1613.3Intel Iris Plus Graphics 640,XPS 13,Intel Core i7 7660U 2.5GHz,512GB SSD,Intel Iris Plus Graphics 640
2452Windows 10Intel814Intel HD Graphics 520,EliteBook 1040,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
2452Windows 7Intel815.6Nvidia Quadro M1000M,ZBook 15,Intel Core i7 6700HQ 2.6GHz,256GB SSD,Nvidia Quadro M1000M
2449Windows 10Intel1613.3Intel HD Graphics 620,Portege X30-D-10K,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2419Windows 10AMD1617.3AMD Radeon RX 580,Rog Strix,AMD Ryzen 1700 3GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580
2419Chrome OSIntel1612.3Intel HD Graphics 615,Pixelbook (Core,Intel Core i7 7Y75 1.3GHz,512GB SSD,Intel HD Graphics 615
2419Windows 10Intel1617.3Nvidia GeForce GTX 970M,Laptop MSI,Intel Core i7 6820HK 2.7GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M
2418Windows 7Intel814Intel HD Graphics 520,EliteBook 840,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
2389Windows 7Intel815.6Intel HD Graphics 520,EliteBook 850,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
2369Windows 10Intel1615.6Nvidia GeForce GTX 970M,GS60 Ghost,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M
2365Windows 10Intel1617.3Nvidia GeForce GTX 980M,Rog G752VY-GC229T,Intel Core i7 6700HQ 2.6GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
2354Mac OS XIntel1615.4Intel Iris Pro Graphics,MacBook Pro,Intel Core i7 2.2GHz,256GB Flash Storage,Intel Iris Pro Graphics
2349Windows 10Intel815.6Nvidia Quadro M1200,Precision 5520,Intel Core i7 6820HQ 2.7GHz,256GB SSD,Nvidia Quadro M1200
2334Windows 10Intel1617.3Nvidia GeForce GTX 1070,Rog GL702VS-GC095T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2314Windows 10Intel815.6Intel HD Graphics 520,EliteBook 850,Intel Core i5 6300U 2.4GHz,256GB SSD +  500GB HDD,Intel HD Graphics 520
2309Windows 10Intel1615.6Nvidia GeForce GTX 1070,GE63VR 7RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2309Windows 10Intel1613.9Intel UHD Graphics 620,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
2309Windows 10Intel1614Intel HD Graphics 520,Thinkpad X1,Intel Core i7 6600U 2.6GHz,512GB SSD,Intel HD Graphics 520
2309Windows 10Intel1615.6Intel HD Graphics 620,Gram 15Z970,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2304Windows 10Intel1615.6Nvidia GeForce GTX 1060,GS63VR 7RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2299Windows 10Intel815.6Nvidia Quadro M2200M,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,256GB SSD,Nvidia Quadro M2200M
2298Windows 10Intel814Intel HD Graphics 620,EliteBook 840,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2271Windows 10Intel815.6Nvidia Quadro M2200,ZBook 17,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M2200
2256Windows 10Intel1615.6Nvidia GeForce GTX 1060,Alienware 15,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2255Windows 7Intel814Nvidia Quadro M500M,ThinkPad P40,Intel Core i7 6600U 2.6GHz,512GB SSD,Nvidia Quadro M500M
2255Windows 10Intel1617.3Nvidia GeForce GTX 1060,Rog Strix,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2254Windows 10Intel814Intel HD Graphics 620,ThinkPad X1,Intel Core i7 7500U 2.7GHz,256GB Flash Storage,Intel HD Graphics 620
2254Windows 10Intel1613.3Intel HD Graphics 620,Spectre x360,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2254Windows 10Intel1617.3Nvidia GeForce GTX 1060,GS73VR 7RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2251Windows 10Intel817.3Nvidia GeForce GTX 1060,Alienware 17,Intel Core i7 7700HQ 2.7GHz,1TB HDD,Nvidia GeForce GTX 1060
2245Windows 10Intel813.3Intel HD Graphics 520,Spectre Pro,Intel Core i7 6600U 2.6GHz,512GB SSD,Intel HD Graphics 520
2244macOSIntel813.3Intel Iris Plus Graphics 650,MacBook Pro,Intel Core i5 3.1GHz,512GB SSD,Intel Iris Plus Graphics 650
2232Windows 10Intel1617.3Nvidia GeForce GTX 1070,GE72MVR 7RG,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2230Windows 10Intel1615.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050
2228Windows 10Intel813.3Intel HD Graphics 620,ThinkPad Yoga,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2215Windows 10Intel812.5Intel HD Graphics 515,EliteBook Folio,Intel Core M 6Y75 1.2GHz,512GB SSD,Intel HD Graphics 515
2214Windows 10Intel813.3Intel HD Graphics 615,XPS 13,Intel Core i7 7Y75 1.3GHz,512GB SSD,Intel HD Graphics 615
2199Windows 10Intel1217.3Nvidia GeForce GTX 1070,Omen 17-w207nv,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2199Windows 10Intel813.3Intel UHD Graphics 620,Spectre x360,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
2192Windows 10Intel815.6Nvidia Quadro M620,Precision 3520,Intel Xeon E3-1505M V6 3GHz,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620
2181Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,ZenBook Pro,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050 Ti
2173Windows 10Intel1613.3Intel HD Graphics 620,EliteBook x360,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
2173Windows 10Intel1615.6Nvidia Quadro M620,Precision 3520,Intel Core i7 6820HQ 2.7GHz,256GB SSD,Nvidia Quadro M620
2173Windows 10Intel1615.6Nvidia GeForce 930M,Tecra Z50-C-140,Intel Core i7 6600U 2.6GHz,256GB SSD,Nvidia GeForce 930M
2167Windows 10Intel813.3Intel HD Graphics 620,ThinkPad Yoga,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2166Windows 10Intel813.3Intel HD Graphics 520,Spectre Pro,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
2162Windows 10Intel1613.3Intel HD Graphics 515,EliteBook 1030,Intel Core M 6Y75 1.2GHz,512GB SSD,Intel HD Graphics 515
2159Windows 10Intel815.6Intel HD Graphics 620,ThinkPad T570,Intel Core i5 7200U 2.5GHz,512GB SSD,Intel HD Graphics 620
2159Windows 10Intel814Intel HD Graphics 520,Latitude E7470,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
2155macOSIntel813.3Intel Iris Graphics 550,MacBook Pro,Intel Core i5 2.9GHz,512GB SSD,Intel Iris Graphics 550
2145Windows 10Intel1612.5Intel HD Graphics 620,Zenbook UX390UA,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2145Windows 10Intel813.3Intel HD Graphics 620,ThinkPad Yoga,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
2144Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
2144Windows 10Intel1617.3Nvidia GeForce GTX 1060,ROG Strix,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2144Windows 10Intel1617.3Nvidia GeForce GTX 1060,GS73VR Stealth,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2137Windows 10Intel814Nvidia GeForce GT 940MX,Thinkpad T470p,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GT 940MX
2129Windows 10Intel1617.3Nvidia GeForce GTX 1060,Predator 17,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2122Windows 10Intel1615.6Nvidia GeForce GTX 1060,GS63VR 6RF,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2118Windows 10Intel815.6Nvidia Quadro M1200,ThinkPad P51,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia Quadro M1200
2099Windows 10Intel812.5Intel HD Graphics 515,EliteBook Folio,Intel Core M 6Y75 1.2GHz,512GB SSD,Intel HD Graphics 515
2099Windows 10Intel817.3Nvidia Quadro M1200,ZBook 17,Intel Core i7 7700HQ 2.8GHz,500GB HDD,Nvidia Quadro M1200
2093Windows 10Intel814Nvidia GeForce GT 940MX,ThinkPad T470p,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GT 940MX
2090Windows 10Intel1614Intel HD Graphics 620,ZenBook 3,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2090Windows 10Intel815.6Intel HD Graphics 520,EliteBook 850,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
2090Windows 10Intel1617.3Nvidia GeForce GTX 970M,Rog G752VT-GC073T,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M
2089Windows 10Intel1615.6Nvidia GeForce GTX 1050,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050
2089Windows 10Intel1615.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050
2089Windows 10Intel1615.6Nvidia GeForce GTX 1060,Rog GL502VM-DS74,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2089Windows 10Intel814Intel HD Graphics 620,Gram 14Z970,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2089Windows 10Intel813.3Intel HD Graphics 615,XPS 13,Intel Core i5 7Y54 1.2GHz,256GB SSD,Intel HD Graphics 615
2089Windows 10Intel1613.3Intel HD Graphics 615,XPS 13,Intel Core i7 7Y75 1.3GHz,512GB SSD,Intel HD Graphics 615
2089Windows 7Intel815.6Nvidia Quadro M1000M,ZBook Studio,Intel Core i7 6700HQ 2.6GHz,256GB SSD,Nvidia Quadro M1000M
2085Windows 7Intel812.5Intel HD Graphics 520,EliteBook 820,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
